id,name,count
0,pop,38
1,post-teen pop,25
2,alt z,22
3,dance pop,21
4,electropop,21
5,pop dance,15
6,indie cafe pop,11
7,indie pop,8
8,indie poptimism,6
9,bedroom pop,5
10,social media pop,4
11,canadian pop,4
12,pop rap,3
13,edm,2
14,viral pop,2
15,uk pop,2
16,tropical house,2
17,boston folk,1
18,etherpop,1
19,glam rock,1
20,piano rock,1
21,soft rock,1
22,mellow gold,1
23,progressive house,1
24,canadian electronic,1
25,electro house,1
26,indie rock,1
27,talent show,1
28,indie pop rap,1
29,pop edm,1
30,nyc pop,1
31,alternative r&b,1
32,la indie,1
33,boy band,1
34,uk alternative pop,1
35,indie soul,1
36,asmr,1
37,canadian contemporary r&b,1
38,sad rap,1
39,lo-fi chill,1
40,metropopolis,1
41,melodic dubstep,1
42,soundtrack,1
43,contemporary classical,1
44,compositional ambient,1
45,classical,1
46,american contemporary classical,1
47,minimalism,1
